JURISDICTION,INDICATOR,SCALE,2018,2019,2020,2021,2022,2023
Suriname,Implementation and use of innovative technologies-Application programming interfaces(APIs),Units,Not Applicable,Not Applicable,,Implementing,Not Applicable,Not Applicable
Bulgaria,Types of income generally subject to reporting of individual payment details – Dividends,Units,,,,,Yes,
Tajikistan,Indicators used to measure effectiveness of enforcement (audit) actions - Other,Units,,,,,No,
Tonga,Tax gap - CIT - Periodic estimates produced,Units,,,,,No,
Chile,Administration has authority to - place staff within a salary range,Units,,,,,No,
Indonesia,Training strategy - Specific training plan exists,Units,,,,,Yes,
Hungary,Tax arrears collection powers and their usage - Collect any disputed tax while the dispute case is open and under judicial review,Units,,,,,Frequently used power,
Chile,Staff can work from home/elsewhere regularly,Units,,,,,No,
Côte d'Ivoire,Main drivers of structural reforms implemented - National and/or international requirement,Units,,,,,National and/or international requirement,
Lithuania,Tax arrears collection powers and their usage - Publicize the names of debtor taxpayers in the media or by some other manner,Units,,,,,Frequently used power,
Guyana,Tax arrears collection powers and their usage - Publicize the names of debtor taxpayers in the media or by some other manner,Units,,,,,Infrequently used power,
Belarus,Administration utilizes specialist skills - Data Science,Units,,,,,Contract skills as needed,
Chile,Performance management system - includes individual development plans,Units,,,,,No,
Montserrat,"Administration has systems for importing, storing and managing third-party data - Customs data",Units,,,,,No,
Namibia,HR strategy exists,Units,,,,,Yes,
Palau,Mechanisms available for taxpayers to challenge assessments-Independent review by a higher appellate court,Units,,,Yes,Yes,Yes,Yes
Rwanda,Enforcement (audit) actions undertaken post return filing - Limited scope audits,Units,,,,,Yes,
"Armenia, Republic of",Other roles - Child support,Units,,,,,No,
Guyana,Tax arrears collection powers and their usage - Require businesses to obtain a tax clearance certificate when bidding for government contracts,Units,,,,,Frequently used power,
Lithuania,Tax arrears collection powers and their usage - Obtain a lien over a taxpayer's assets,Units,,,,,Infrequently used power,
Australia,Administration evaluates taxpayer compliance burden - evaluation undertaken by an external party,Units,,,,,No,
Indonesia,Staff surveyed periodically on diversity and inclusion,Units,,,,,No,
Sweden,Training strategy - Specific training plan exists,Units,,,,,Yes,
Lithuania,Tax arrears collection powers and their usage - Collect any disputed tax while the dispute case is open and under judicial review,Units,,,,,Power does not exist,
Indonesia,HR strategy exists,Units,,,,,Yes,
Botswana,"Challenges related to international tax compliance risk -Obtaining data for compliance risk identification, analysis and management",Units,,,,,Very challenging,
Morocco,Training strategy - Specific training plan exists,Units,,,,,Yes,
Montenegro,Tax gap - CIT - Periodic estimates produced,Units,,,,,No,
Nigeria,Other roles - Child support,Units,,,,,No,
Denmark,Types of income generally subject to reporting of individual payment details – Dividends,Units,,,,,Yes,
Ecuador,Administration uses electronic compliance checks as part of returns filing process - post submission of return,Units,,,,,Yes,Yes
Nauru,Main criteria for determining a large taxpayer - Taxes (assessed or paid),Units,,,,,Yes,
Nauru,"Formal approach for identifying, assessing and prioritizing key compliance risks exists in relation to: Return filing",Units,,,,,Yes,
Denmark,Features of the service approach - Special services for digitally disadvantaged taxpayers,Units,,,,,Yes,
Sweden,Administration utilizes specialist skills - Data Science,Units,,,,,Have such specialist positions in-house,
Namibia,Staff surveyed periodically on diversity and inclusion,Units,,,,,No,
Guinea,Tax arrears collection powers and their usage - Collect any disputed tax while the dispute case is open and under administrative review,Units,,,,,Power does not exist,
Denmark,Private rulings provided to taxpayers - taxpayers required to pay fees to obtain private rulings,Units,,,,,No,
Hungary,Tax arrears collection powers and their usage - Collect any disputed tax while the dispute case is open and under administrative review,Units,,,,,Frequently used power,
"Timor-Leste, Dem. Rep. of",Administration uses electronic compliance checks as part of returns filing process - post submission of return,Units,,,,,Yes,Yes
Hungary,Tax arrears collection powers and their usage - Publicize the names of debtor taxpayers in the media or by some other manner,Units,,,,,Frequently used power,
Indonesia,Training strategy exists,Units,,,,,Yes,
Mozambique,"Staff surveyed periodically on attitudes, perceptions and workplace satisfaction",Units,,,,,Yes,
Chile,Formal diversity policy exists,Units,,,,,Yes,
Nauru,"Challenges related to international tax compliance risk -Obtaining data for compliance risk identification, analysis and management",Units,,,,,Very challenging,
Morocco,Training strategy exists,Units,,,,,Yes,
Czech Republic,Taxpayer has the right to review decision - External,Units,,,,,Yes,
Italy,Features of the service approach - Telephone services provided in non-official languages,Units,,,,,Yes,
Fiji,Types of income generally subject to tax withholding at source – Rents,Units,,,,,No,
Nauru,Enforcement (audit) actions undertaken post return filing - Limited scope audits,Units,,,,,Yes,
"Armenia, Republic of",Individual taxpayers - Taxpayer satisfaction surveys conducted regularly,Units,,,,,Yes,
Bulgaria,Other roles - Child support,Units,,,,,No,
Burundi,Application of administrative sanctions for taxpayer non-disclosure,Units,,,,,Yes,
Nauru,Reports of outcomes in addressing the compliance risks made public regularly,Units,,,,,No,
Netherlands,Mechanisms available for taxpayers to challenge assessments-Independent review by a higher appellate court,Units,Yes,Yes,Yes,Yes,Yes,Yes
Hungary,Tax arrears collection powers and their usage - Require businesses to obtain a tax clearance certificate when bidding for government contracts,Units,,,,,Frequently used power,
Latvia,Enforcement (audit) actions undertaken post return filing - Limited scope audits,Units,,,,,Yes,
Angola,Administration utilizes specialist skills - Data Science,Units,,,,,No,
Bulgaria,Taxpayer has the right to review decision - External,Units,,,,,Yes,
Belgium,Features of the service approach - Special services for digitally disadvantaged taxpayers,Units,,,,,Yes,
Samoa,Reports of outcomes in addressing the compliance risks made public regularly,Units,,,,,No,
Republika Srpska,Private rulings provided to taxpayers - taxpayers required to pay fees to obtain private rulings,Units,,,,,Yes,
"Timor-Leste, Dem. Rep. of",Mechanisms available for taxpayers to challenge assessments-Independent review by a higher appellate court,Units,Yes,Yes,Yes,Yes,Yes,Yes
Kiribati,Administration utilizes specialist skills - Data Science,Units,,,,,No,
Namibia,Training strategy exists,Units,,,,,Yes,
Bhutan,"Staff surveyed periodically on attitudes, perceptions and workplace satisfaction",Units,,,,,No,
Belgium,Features of the service approach - Telephone services provided in non-official languages,Units,,,,,No,
Kiribati,Formal diversity policy exists,Units,,,,,No,
Lesotho,Authority of the administration - Design its own internal structure,Units,,,,,Yes,
Brazil,Process is independent of the adminsitration - Internal,Units,,,,,Yes,
Lithuania,Administration conducts random audits,Units,,,,,Yes,
Morocco,Formal diversity policy exists,Units,,,,,Yes,
Tonga,"Challenges related to international tax compliance risk -Obtaining data for compliance risk identification, analysis and management",Units,,,,,Very challenging,
Costa Rica,Types of income generally subject to reporting of individual payment details – Other income,Units,,,,,No,
Thailand,Public rulings provided to taxpayers - rulings binding on the administration,Units,,,,,No,
Honduras,Administration captures information on ‘other’ gender,Units,,,,No,No,No
Cabo Verde,Private rulings provided to taxpayers - private rulings required to be issued within a set time frame,Units,,,,,Yes,
Czech Republic,Administration evaluates taxpayer compliance burden,Units,,,,,Yes,
Montenegro,Types of income generally subject to tax withholding at source – Other income,Units,,,,,Yes,
Poland,Indicators used to measure effectiveness of enforcement (audit) actions - Value of additional assessments raised through audit,Units,,,,,Yes,
Benin,Indicators used to measure effectiveness of enforcement (audit) actions - Value of additional assessments raised through audit,Units,,,,,Yes,
Lao People's Democratic Republic,Interventions undertaken before return filing - Targeting campaigns to encourage compliance,Units,,,,,Yes,
Guinea Bissau,Educational or business support initiatives undertaken - Free tax services (including accounting and benefit information) for lower income individuals,Units,,,,,No,
Anguilla,Indicators used to measure effectiveness of enforcement (audit) actions - Value of additional assessments raised through audit,Units,,,,,Yes,
Niue,Administration evaluates taxpayer compliance burden,Units,,,,,No,
Nauru,Administration captures information on ‘other’ gender,Units,,,,No,Yes,Yes
Belgium,"Administration has systems for importing, storing and managing third-party data - Data on property ownership and sales",Units,,,,,Yes,
Thailand,Interventions undertaken after return filing but before audit - Other interventions after filing but before audit,Units,,,,,Yes,
Bhutan,Interventions undertaken after return filing but before audit - Other interventions after filing but before audit,Units,,,,,No,
Lithuania,Administration measures the effectiveness of any compliance interventions undertaken,Units,,,,,Yes,
Portugal,Administration measures the effectiveness of any compliance interventions undertaken,Units,,,,,Yes,
